=== AUDIT SUMMARY CSV ===
page_id,component,source_url,authority,http_status,final_url,result
คำนวณภาษีเงินได้บุคคลธรรมดา,TrustBadge,https://www.rd.go.th,Thai Government,307,https://www.rd.go.th/landing.html,PASS
คำนวณดอกเบี้ยเงินฝาก,TrustBadge,https://www.bot.or.th,Thai Government,302,https://www.bot.or.th/th/coverpage.html,PASS
คำนวณเงินเดือนสุทธิ,TrustBadge,https://www.sso.go.th,Thai Government,301,https://www.sso.go.th/wpr/,PASS
คำนวณ-bmi,TrustBadge,https://www.moph.go.th,Thai Government,301,https://moph.go.th/,FAIL
คำนวณ-bmi,TransparencyPanel,https://www.who.int/westernpacific,WHO,200,https://www.who.int/westernpacific,PASS
